Name,Market Cap
A,24955000832
AAL,10843202560
AAP,9687102464
AAPL,1304680595456
ABBV,137737289728
ABC,19545327616
ABMD,7448413184
ABT,149664759808
ACN,129961517056
ADBE,174318157824
ADI,43214299136
ADM,23888719872
ADP,75358339072
ADS,4546668032
ADSK,42767810560
AEE,20868263936
AEP,49436667904
AES,13443832832
AFL,35780022272
AGN,65198321664
AIG,39756808192
AIV,8160386560
AIZ,8210218496
AJG,19993714688
AKAM,15693072384
ALB,9501617152
ALGN,18923790336
ALK,7744748032
ALL,38427066368
ALLE,11755632640
ALXN,21923125248
AMAT,56090071040
AMCR,15928217600
AMD,57453699072
AME,21849264128
AMGN,128507150336
AMP,20377833472
AMT,108569026560
AMZN,1000244641792
ANET,16347428864
ANSS,23659139072
ANTM,70021578752
AON,51712262144
AOS,6987718144
APA,10058962944
APD,54183067648
APH,29115523072
APTV,21439086592
ARE,20458997760
ARNC,14314515456
ATO,14209870848
ATVI,47870279680
AVB,31757590528
AVGO,116482252800
AVY,10640774144
AWK,24708517888
AXP,103582777344
AZO,24928991232
BA,179026018304
BAC,285684793344
BAX,45710077952
BBY,22125432832
BDX,67936968704
BEN,12019962880
BF-B,31717926912
BIIB,56741384192
BK,38846459904
BKNG,75028021248
BKR,20082710528
BLK,82017935360
BLL,24879284224
BMY,149957836800
BR,13367661568
BRK-B,541668474880
BSX,57258131456
BWA,6638145536
BXP,22319685632
C,153335660544
CAG,14229573632
CAH,16964321280
CAT,72704466944
CB,72536989696
CBOE,13523933184
CBRE,20108552192
CCI,69167161344
CCL,26816169984
CDNS,20031533056
CDW,18612434944
CE,12427845632
CERN,22890008576
CF,8387280384
CFG,15618343936
CHD,18549786624
CHRW,9731180544
CHTR,111014313984
CI,74399883264
CINF,17508493312
CL,63781212160
CLX,20915468288
CMA,8449663488
CMCSA,203065131008
CME,75005583360
CMG,24574679040
CMI,24460949504
CMS,19374946304
CNC,34824740864
CNP,12666542080
COF,44856381440
COG,5989900288
COO,17066710016
COP,60954107904
COST,138544152576
COTY,8137895424
CPB,14485473280
CPRI,3995809536
CPRT,21564755968
CRM,164928782336
CSCO,186598719488
CSX,60404854784
CTAS,29896888320
CTL,14227502080
CTSH,36989104128
CTVA,22976696320
CTXS,13696754688
CVS,88578547712
CVX,197993005056
CXO,14672224256
D,74444201984
DAL,34712297472
DD,37302128640
DE,54102904832
DFS,22676500480
DG,41973354496
DGX,14992333824
DHI,22139375616
DHR,109068320768
DIS,240141565952
DISCA,14458567680
DISCK,14488423424
DISH,20064083968
DLR,28215566336
DLTR,21545709568
DOV,16590502912
DOW,34295236608
DRE,13864778752
DRI,14324813824
DTE,25540343808
DUK,75018838016
DVA,10403238912
DVN,7344022016
DXC,7142245888
EA,31003805696
EBAY,29693906944
ECL,58375176192
ED,29669259264
EFX,18876444672
EIX,27368427520
EL,71469359104
EMN,9659949056
EMR,42333282304
EOG,40671121408
EQIX,54996361216
EQR,31911991296
ES,31419299840
ESS,21559531520
ETFC,11171816448
ETN,42022109184
ETR,25837590528
EVRG,16406736896
EW,47322443776
EXC,47566303232
EXPD,12377317376
EXPE,15722163200
EXR,14094594048
F,30014521344
FANG,11304208384
FAST,21682771968
FB,572142321664
FBHS,9648730112
FCX,16308901888
FDX,40434278400
FE,27376349184
FFIV,7920341504
FIS,92892053504
FISV,79268954112
FITB,20069410816
FLIR,7618549248
FLS,5703356416
FLT,25467820032
FMC,13272576000
FOX,20959258624
FOXA,20927295488
FRC,19268804608
FRT,9674351616
FTI,7117477888
FTNT,18591395840
FTV,24362582016
GD,53408776192
GE,103579893760
GILD,92229435392
GIS,32490770432
GL,11551080448
GLW,20617957376
GM,47285608448
GOOG,976491577344
GOOGL,976388030464
GPC,13915582464
GPN,60171292672
GPS,6081041408
GRMN,18183913472
GS,79506694144
GWW,15884411904
HAL,17448634368
HAS,11916784640
HBAN,13759065088
HBI,5103380480
HCA,47386550272
HD,255460278272
HES,18380048384
HFC,5976807424
HIG,20349763584
HII,9572078592
HLT,28860139520
HOG,5215336960
HOLX,13533723648
HON,124897402880
HP,4561988608
HPE,17729361920
HPQ,32115499008
HRB,4467228160
HRL,23833227264
HSIC,9307910144
HST,11721161728
HSY,23544735744
HUM,45729812480
IBM,129683816448
ICE,51941281792
IDXX,23022778368
IEX,12887589888
IFF,13552320512
ILMN,41324638208
INCY,17097123840
INFO,30433898496
INTC,264147501056
INTU,74559733760
IP,16214368256
IPG,9290058752
IPGP,7006450688
IQV,30480510976
IR,33872013312
IRM,9640357888
ISRG,67290435584
IT,13292176384
ITW,58371244032
IVZ,7616342016
J,13564446720
JBHT,11189539840
JCI,31926880256
JKHY,12883521536
JNJ,384432013312
JNPR,7697974272
JPM,407581458432
JWN,6050209280
K,22000564224
KEY,18547046400
KEYS,17098680320
KHC,32525883392
KIM,8191530496
KLAC,24100558848
KMB,47892455424
KMI,49310359552
KMX,15921866752
KO,251022000128
KR,24233768960
KSS,6752778240
KSU,16088929280
L,15059003392
LB,6538633728
LDOS,16095790080
LEG,5678669824
LEN,21295816704
LH,18229860352
LHX,48426496000
LIN,113102405632
LKQ,9916613632
LLY,132124172288
LMT,118230278144
LNC,10764996608
LNT,14141109248
